VA,PA,PMU_Type,Rank,Bank,BankGroup
0x7effd9fae700,0x205515700,17,0,10,2
0x7f0184ad8900,0x225a28900,16,0,4,0
0x7f002792e300,0x2c0858300,17,0,0,0
0x7f007cf83680,0x271b2a680,14,0,3,3
0x7f005652c280,0x285220280,14,0,1,1
0x7f005dbf3980,0x2bad09980,16,0,13,1
0x7f01692afc00,0x1e3f2cc00,13,0,6,2
0x7f003ff66f80,0x2875e2f80,17,0,7,3
0x7f0073942900,0x2ac971900,16,0,12,0
0x7effcdf2a200,0x2e8acf200,14,0,8,0
0x7f0003223600,0x1d998a600,14,0,2,2
0x7efff9a7b680,0x2143e3680,14,0,11,3
0x7f0014e1d280,0x200441280,14,0,9,1
0x7f0034e6a780,0x229136780,17,0,3,3
0x7eff91641a00,0x1ddb8da00,14,0,12,0
0x7f0028672280,0x28f0ca280,14,0,1,1
0x7f00857fd180,0x285216180,16,0,1,1
0x7f0101b07f00,0x1e9198f00,17,0,6,2
0x7f012e897280,0x201a09280,14,0,9,1
0x7f00bcc51a00,0x226138a00,14,0,4,0
0x7f0038d71b80,0x1e109fb80,17,0,13,1
0x7f00b8cf8780,0x282867780,17,0,11,3
0x7f00bed86f00,0x20797ff00,17,0,14,2
0x7f005eb2b680,0x2745c7680,14,0,11,3
0x7efff2c5e980,0x2865c0980,16,0,5,1
0x7f013339d380,0x2b6902380,17,0,1,1
0x7f0052a31d00,0x20c126d00,16,0,6,2
0x7f00ba2d8480,0x2314ac480,13,0,3,3
0x7f014a9e0080,0x2be30f080,13,0,9,1
0x7f018078c000,0x28e908000,13,0,0,0
0x7effa7f1f780,0x2b5cc3780,17,0,11,3
0x7f0184fdfb80,0x2753d1b80,17,0,13,1
0x7f014b116e00,0x273468e00,14,0,6,2
0x7effd8a15e00,0x2bc43ce00,14,0,6,2
0x7f015af41100,0x26697a100,16,0,0,0
0x7f005593f580,0x2b3fcc580,16,0,3,3
0x7f018087ac00,0x20c7d3c00,13,0,14,2
0x7f003eea2480,0x28daf9480,13,0,11,3
0x7f0070465500,0x295dc1500,16,0,10,2
0x7f002a699380,0x2b58e1380,17,0,9,1
0x7f001cdf1380,0x328e15380,17,0,9,1
0x7f0110113e80,0x2b6fcfe80,14,0,15,3
0x7effca21d180,0x2c3447180,16,0,9,1
0x7efff9240080,0x234365080,13,0,9,1
0x7effed6fcf80,0x207b5df80,17,0,15,3
0x7f0030decd00,0x16644dd00,16,0,14,2
0x7f00e3998380,0x2b95c7380,17,0,9,1
0x7f0033f07080,0x2b041a080,13,0,1,1
0x7f0052a82400,0x2b9e45400,13,0,10,2
0x7f00a862b280,0x2b2681280,14,0,9,1
0x7effa2952700,0x234ac5700,17,0,10,2
0x7f00d3844180,0x200433180,16,0,9,1
0x7f0130770580,0x20c109580,16,0,11,3
0x7f00e499ce80,0x1e0e62e80,14,0,7,3
0x7effbaa82180,0x290f26180,16,0,1,1
0x7effd1e67980,0x2bc8e1980,16,0,13,1
0x7f00cbc3a980,0x2bb1e3980,16,0,13,1
0x7f0060a64600,0x2669cd600,14,0,10,2
0x7f0139535b00,0x2bcfb2b00,17,0,4,0
0x7f007cc22e00,0x1bd9fee00,14,0,6,2
0x7f015583e780,0x2005d5780,17,0,11,3
0x7f0091c1d200,0x1c8b3b200,14,0,8,0
0x7f00be1aa400,0x2307f2400,13,0,2,2
0x7f0104e53c80,0x209df6c80,13,0,7,3
0x7f0026e0f180,0x26f7ae180,16,0,1,1
0x7effe27bdd00,0x28f600d00,16,0,6,2
0x7f01595b7780,0x22754b780,17,0,11,3
0x7f013aafcc00,0x270843c00,13,0,14,2
0x7f00e68b6580,0x2b2138580,16,0,3,3
0x7f00f2acb800,0x1f0a73800,13,0,12,0
0x7f013ee9dd00,0x1f4dd4d00,16,0,6,2
0x7effdb579c80,0x2025a6c80,13,0,7,3
0x7efff5a7c980,0x2b8bc9980,16,0,13,1
0x7f0007afe200,0x2bcc18200,14,0,0,0
0x7f00f0650980,0x1dfadc980,16,0,5,1
0x7f008d5b2f80,0x271450f80,17,0,7,3
0x7f00682feb80,0x20d903b80,17,0,13,1
0x7f006ba33c00,0x266f79c00,13,0,14,2
0x7f0040ec2400,0x228d7f400,13,0,10,2
0x7f003b2a3800,0x28825c800,13,0,4,0
0x7f008bed4800,0x2c53e1800,13,0,12,0
0x7f00e3600f00,0x2b1e99f00,17,0,14,2
0x7f00d3c31400,0x2355e5400,13,0,10,2
0x7f0023b81d00,0x2b71a1d00,16,0,14,2
0x7f00e9f65600,0x1dc972600,14,0,2,2
0x7f00bb1ee100,0x274562100,16,0,0,0
0x7f002a94e680,0x2b4d3f680,14,0,11,3
